cartodb_id,the_geom,cartodb_georef_status,geonameid,subcountry,country,name
867,0101000020E610000090831266DA1E1540DBDC989EB0844940,true,2795800,Flanders,Belgium,Heusden
304,0101000020E61000008369183E22024EC0ED2AA4FCA47241C0,true,3861344,Buenos Aires,Argentina,Chivilcoy
934,0101000020E61000007E8CB96B095913408A1F63EE5A7E4940,true,2803429,Flanders,Belgium,Aarschot
863,0101000020E610000075CDE49B6DEE14400A4B3CA06C424940,true,2795113,Wallonia,Belgium,Huy
400,0101000020E6100000CD1E680586FE62401D7233DC808F3BC0,true,2146268,Queensland,Australia,Toowoomba
235,0101000020E6100000AF997CB3CD2F51C01366DAFE953D3EC0,true,3837240,San Juan,Argentina,San José de Jáchal
303,0101000020E6100000FCFB8C0B070451C06891ED7C3F6943C0,true,3861061,Rio Negro,Argentina,Cinco Saltos
458,0101000020E61000002EE7525C55256240B79C4B71551543C0,true,2160582,Victoria,Australia,Langwarrin
733,0101000020E61000001361C3D32B035740CFBD874B8E133640,true,1336133,Chittagong,Bangladesh,Sātkania
447,0101000020E6100000A6F27684D31E6240D578E92631E842C0,true,2158177,Victoria,Australia,Melbourne
399,0101000020E6100000DB166536C859624040FB9122324433C0,true,2146142,Queensland,Australia,Townsville
656,0101000020E6100000D3307C444C13574077A1B94E23DD3440,true,1185095,Chittagong,Bangladesh,Teknāf
759,0101000020E61000007E1D386744291040E353008C67884940,true,2783293,Flanders,Belgium,Zele
342,0101000020E6100000FED478E926093040F2B0506B9ADB4740,true,2763795,Lower Austria,Austria,Ternitz
240,0101000020E610000091442FA3585A50C029ED0DBE30C938C0,true,3838233,Salta,Argentina,Salta
262,0101000020E610000064CC5D4BC80351C0F645425BCE7943C0,true,3843123,Neuquen,Argentina,Neuquén
871,0101000020E6100000DC4B1AA375541340ED0DBE3099964940,true,2796009,Flanders,Belgium,Herentals
898,0101000020E610000029D027F224E9064015E3FC4D28844940,true,2799369,Flanders,Belgium,Diksmuide
195,0101000020E6100000F5673F52445450C0D39FFD4811D13AC0,true,3832260,Tucumán,Argentina,Yerba Buena
123,0101000020E61000005F5E807D747A2F407632384A5E8D29C0,true,3348313,Huambo,Angola,Huambo
209,0101000020E610000099D87C5C1B164EC0C8073D9B55B741C0,true,3833112,Buenos Aires,Argentina,Veinticinco de Mayo
514,0101000020E61000009487855AD3216340BA66F2CD36AF3AC0,true,2173605,Queensland,Australia,Buderim
606,0101000020E6100000B7EEE6A90E3D4840B0E600C11C014440,true,585187,Sabirabad,Azerbaijan,Sabirabad
459,0101000020E6100000611A868F88206240B79C4B7155D542C0,true,2160706,Victoria,Australia,Lalor
244,0101000020E6100000B1506B9A77F44FC09E5E29CB10A73FC0,true,3838797,Cordoba,Argentina,Río Segundo
229,0101000020E6100000BC0512143F4E50C05053CBD6FAD23AC0,true,3836873,Tucumán,Argentina,San Miguel de Tucumán
405,0101000020E610000029CB10C7BADD62402CF180B229173FC0,true,2147497,New South Wales,Australia,Tamworth
928,0101000020E61000000CB08F4E5D390E40B18A37328F504940,true,2803010,Wallonia,Belgium,Ath
289,0101000020E6100000F8C264AA600650C0CB2DAD86C43537C0,true,3856231,Salta,Argentina,Embarcación
307,0101000020E610000040A4DFBE0E984EC09EEA909BE1363BC0,true,3861678,Chaco,Argentina,Charata
49,0101000020E6100000CAE02879754E51403FA9F6E978CC4040,true,1141857,Paktia,Afghanistan,Gardēz
124,0101000020E61000002BDEC83CF2172B407940D9942BDC28C0,true,3350246,Benguela,Angola,Catumbela
562,0101000020E610000085EB51B81EFD5C40B2632310AF0740C0,true,8349108,Western Australia,Australia,Thornlie
533,0101000020E6100000DB8AFD65F7E762400CE544BB0AF540C0,true,2208285,New South Wales,Australia,Randwick
542,0101000020E610000015C616821CE062409B559FABADE840C0,true,7281840,New South Wales,Australia,Paramatta
184,0101000020E61000001F680586AC024DC0DBA2CC0699643FC0,true,3435261,Entre Rios,Argentina,Concordia
87,0101000020E61000005E68AED3482B4740E162450DA6C14340,true,174895,Syunik Province,Armenia,Goris
717,0101000020E6100000863DEDF0D78A5640FDA4DAA7E3513840,true,1189056,Dhaka,Bangladesh,Sakhipur
323,0101000020E610000097A8DE1AD86A4FC0BD3AC780EC753CC0,true,3865840,Santiago del Estero,Argentina,Añatuya
